"","Government scientist (applied)","Lecturer/teacher at a university of applied sciences.","Project Scientist","Researcher (policy)","Senior Consultant and external lecturer","Senior Research Fellow"
"Frequency",1,1,1,1,1,1
"Percentage",16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667
