"","Always","Most of the time","Some of the time","Rarely","Never","NA"
"Frequency",35,56,64,31,31,1
"Percentage",16.0550458715596,25.6880733944954,29.3577981651376,14.2201834862385,14.2201834862385,0.458715596330275
