"","Always","Most of the time","Some of the time","Rarely","Never","NA"
"Frequency",13,18,31,27,128,1
"Percentage",5.96330275229358,8.25688073394496,14.2201834862385,12.3853211009174,58.7155963302752,0.458715596330275
