"","Human geography","Physical geography, earth and environmental sciences","Nature and society","Geographic methods, GIS, spatial statistics","Other","NA"
"Frequency",66,63,25,61,1,2
"Percentage",30.2752293577982,28.8990825688073,11.4678899082569,27.9816513761468,0.458715596330275,0.917431192660551
