"","","Geographic methods, GIS, spatial statistics","Human geography","Nature and society","Other (specify)","Physical geography, earth and environmental sciences"
"Frequency",2,54,51,18,27,62
"Percentage",0.934579439252336,25.2336448598131,23.8317757009346,8.41121495327103,12.6168224299065,28.9719626168224
