"","0","0.11","1","3","5","10","15","20","25","30","35","40","45","50","60","65","70","75","80","85","90","95","100"
"Frequency",5,1,2,1,6,10,3,3,4,12,1,5,1,41,18,2,15,10,22,3,11,2,9
"Percentage",2.67379679144385,0.53475935828877,1.06951871657754,0.53475935828877,3.20855614973262,5.3475935828877,1.60427807486631,1.60427807486631,2.13903743315508,6.41711229946524,0.53475935828877,2.67379679144385,0.53475935828877,21.9251336898396,9.62566844919786,1.06951871657754,8.02139037433155,5.3475935828877,11.7647058823529,1.60427807486631,5.88235294117647,1.06951871657754,4.81283422459893
