"","Full professor/lecturer","Associate professor/lecturer","Assistant professor/lecturer","Laboratory director/head","Research scientist","Post-doctoral fellow","Graduate student (PhD, masters)","Technician/research assistant","Other (specify)","NA"
"Frequency",43,61,24,1,28,26,18,2,6,9
"Percentage",19.7247706422018,27.9816513761468,11.0091743119266,0.458715596330275,12.8440366972477,11.9266055045872,8.25688073394496,0.917431192660551,2.75229357798165,4.12844036697248
