"","","Data analysis","Data analysis,Data visualization or mapping","Data cleaning or pre-processing","Data cleaning or pre-processing,Data analysis","Data cleaning or pre-processing,Data analysis,Data visualization or mapping","Data cleaning or pre-processing,Data visualization or mapping","Data visualization or mapping","Obtaining or collecting data","Obtaining or collecting data,Data analysis,Data visualization or mapping","Obtaining or collecting data,Data cleaning or pre-processing","Obtaining or collecting data,Data cleaning or pre-processing,Data analysis","Obtaining or collecting data,Data cleaning or pre-processing,Data analysis,Data visualization or mapping","Obtaining or collecting data,Data cleaning or pre-processing,Data visualization or mapping","Obtaining or collecting data,Data visualization or mapping"
"Frequency",26,29,22,3,5,26,4,16,18,4,2,3,48,3,5
"Percentage",12.1495327102804,13.5514018691589,10.2803738317757,1.4018691588785,2.33644859813084,12.1495327102804,1.86915887850467,7.47663551401869,8.41121495327103,1.86915887850467,0.934579439252336,1.4018691588785,22.4299065420561,1.4018691588785,2.33644859813084
