"","Argentina","Australia","Austria","Belgium","Brazil","Cambodia","Canada","Chile","China","Cyprus","Czech Republic","Denmark","Ethiopia","Finland","France","Germany","Greece","Hong Kong (S.A.R.)","India","Israel","Italy","Lebanon","Mexico","Netherlands","New Zealand","Norway","Poland","Portugal","Romania","Russian Federation","Slovakia","South Africa","Spain","Sweden","Switzerland","Thailand","Turkey","United Kingdom of Great Britain and Northern Ireland","United States of America","Zimbabwe"
"Frequency",1,10,3,1,3,1,12,3,17,1,3,3,1,4,3,7,2,2,5,3,6,1,5,6,3,2,4,4,1,1,1,3,4,5,3,2,2,17,48,1
"Percentage",0.490196078431373,4.90196078431373,1.47058823529412,0.490196078431373,1.47058823529412,0.490196078431373,5.88235294117647,1.47058823529412,8.33333333333333,0.490196078431373,1.47058823529412,1.47058823529412,0.490196078431373,1.96078431372549,1.47058823529412,3.43137254901961,0.980392156862745,0.980392156862745,2.45098039215686,1.47058823529412,2.94117647058824,0.490196078431373,2.45098039215686,2.94117647058824,1.47058823529412,0.980392156862745,1.96078431372549,1.96078431372549,0.490196078431373,0.490196078431373,0.490196078431373,1.47058823529412,1.96078431372549,2.45098039215686,1.47058823529412,0.980392156862745,0.980392156862745,8.33333333333333,23.5294117647059,0.490196078431373
