"","African","Caribbean","european","I'm from and live in Chile","Middle Eastern","Swedish","Why is this relevant???","WTF..! what planet are you from? where have you been the past 25 years? cant be serious asking about race in an academic survey in the 21st century"
"Frequency",2,1,1,1,1,1,1,1
"Percentage",22.2222222222222,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111
