"","1 person","2 - 5 people","6 - 10 people","11 - 15 people","16+ people","NA"
"Frequency",17,81,63,18,26,13
"Percentage",7.79816513761468,37.1559633027523,28.8990825688073,8.25688073394496,11.9266055045872,5.96330275229358
