"","0","0.1","1","5","10","15","20","25","30","40","50","60","65","70","75","80","90","99","100"
"Frequency",5,1,1,1,8,4,12,5,11,11,49,20,1,17,7,16,5,1,6
"Percentage",2.76243093922652,0.552486187845304,0.552486187845304,0.552486187845304,4.41988950276243,2.20994475138122,6.62983425414365,2.76243093922652,6.07734806629834,6.07734806629834,27.0718232044199,11.0497237569061,0.552486187845304,9.39226519337017,3.86740331491713,8.83977900552486,2.76243093922652,0.552486187845304,3.31491712707182
