"","?",">50%","0","0.1","1","10","100","15","20","25","30","40","5%","50","60","60%","65","70","75","80","90","99","Hard to say","na"
"Frequency",2,1,5,1,1,8,6,4,12,5,11,11,1,48,19,1,1,17,7,16,5,1,1,1
"Percentage",1.08108108108108,0.540540540540541,2.7027027027027,0.540540540540541,0.540540540540541,4.32432432432432,3.24324324324324,2.16216216216216,6.48648648648649,2.7027027027027,5.94594594594595,5.94594594594595,0.540540540540541,25.9459459459459,10.2702702702703,0.540540540540541,0.540540540540541,9.18918918918919,3.78378378378378,8.64864864864865,2.7027027027027,0.540540540540541,0.540540540540541,0.540540540540541
