"","Always","Most of the time","Some of the time","Rarely","Never","NA"
"Frequency",15,26,50,43,83,1
"Percentage",6.88073394495413,11.9266055045872,22.9357798165138,19.7247706422018,38.0733944954128,0.458715596330275
