"","Always","Most of the time","Some of the time","Rarely","Never","NA"
"Frequency",35,52,43,30,56,2
"Percentage",16.0550458715596,23.8532110091743,19.7247706422018,13.7614678899083,25.6880733944954,0.917431192660551
