"","Always","Most of the time","Some of the time","Rarely","Never","NA"
"Frequency",14,30,50,40,81,3
"Percentage",6.42201834862385,13.7614678899083,22.9357798165138,18.348623853211,37.1559633027523,1.37614678899083
