"","","Mixed Methods","Qualitative","Quantitative"
"",100,98.8,97.37,95.65
"Government scientist (applied)",0,0,0,1.09
"Lecturer/teacher at a university of applied sciences.",0,0,2.63,0
"Project Scientist",0,1.2,0,0
"Researcher (policy)",0,0,0,1.09
"Senior Consultant and external lecturer",0,0,0,1.09
"Senior Research Fellow",0,0,0,1.09
