"","Quantitative","Qualitative","Mixed Methods","NA"
"Full professor/lecturer",23.91,15,16.47,100
"Associate professor/lecturer",23.91,27.5,32.94,0
"Assistant professor/lecturer",6.52,22.5,10.59,0
"Laboratory director/head",1.09,0,0,0
"Research scientist",14.13,2.5,16.47,0
"Post-doctoral fellow",16.3,10,8.24,0
"Graduate student (PhD, masters)",8.7,10,7.06,0
"Technician/research assistant",1.09,0,1.18,0
"Other (specify)",4.35,2.5,1.18,0
"NA",0,10,5.88,0
