"","Quantitative","Qualitative","Mixed Methods","NA"
"0",2.7,9.09,0,0
"0.1",1.35,0,0,0
"1",1.35,0,0,0
"5",1.35,0,0,0
"10",4.05,3.03,5.48,0
"15",2.7,6.06,0,0
"20",5.41,6.06,8.22,0
"25",4.05,3.03,1.37,0
"30",5.41,9.09,5.48,0
"40",9.46,3.03,4.11,0
"50",25.68,27.27,28.77,0
"60",9.46,15.15,10.96,0
"65",0,3.03,0,0
"70",12.16,6.06,8.22,0
"75",1.35,3.03,6.85,0
"80",9.46,6.06,9.59,0
"90",1.35,0,5.48,0
"99",1.35,0,0,0
"100",1.35,0,5.48,100
