"","Quantitative","Qualitative","Mixed Methods","NA"
"To a great extent",42.39,7.5,22.35,0
"Somewhat",39.13,5,35.29,0
"Very little",7.61,15,28.24,0
"Not at all",10.87,72.5,14.12,100
"NA",0,0,0,0
