"","","Mixed Methods","Qualitative","Quantitative"
"",0,2.8,0.47,2.8
"Agree",0.47,11.68,0.47,11.68
"Disagree",0,16.82,7.48,25.23
"Strongly agree",0,1.87,0,0.47
"Strongly disagree",0,5.61,9.35,2.8
