"","","Mixed Methods","Qualitative","Quantitative"
"",0,7.23,15.79,3.26
"Frequently",0,20.48,15.79,23.91
"Never",0,0,10.53,5.43
"Occasionally",0,43.37,39.47,43.48
"Rarely",100,28.92,18.42,23.91
