"","","Mixed Methods","Qualitative","Quantitative"
"",0.47,0,0,0.47
"Geographic methods, GIS, spatial statistics",0,8.41,0,16.82
"Human geography",0,7.48,13.08,3.27
"Nature and society",0,2.8,3.74,1.87
"Other (specify)",0,6.54,0.47,5.61
"Physical geography, earth and environmental sciences",0,13.55,0.47,14.95
