"","Quantitative","Qualitative","Mixed Methods","NA"
"To a great extent",7.61,2.5,7.06,0
"Somewhat",20.65,10,27.06,0
"Very little",29.35,7.5,29.41,0
"Not at all",42.39,80,36.47,100
"NA",0,0,0,0
