"","Quantitative","Qualitative","Mixed Methods","NA"
"To a great extent",30.43,15,35.29,0
"Somewhat",44.57,25,36.47,0
"Very little",13.04,27.5,12.94,0
"Not at all",10.87,32.5,15.29,100
"NA",1.09,0,0,0
