"","Quantitative","Qualitative","Mixed Methods","NA"
"To a great extent",64.13,10,47.06,0
"Somewhat",32.61,42.5,42.35,0
"Very little",3.26,27.5,9.41,0
"Not at all",0,20,1.18,0
"NA",0,0,0,100
