"","","Mixed Methods","Qualitative","Quantitative"
"",0,13.25,7.89,16.3
"Agree",0,21.69,42.11,7.61
"Disagree",0,36.14,18.42,43.48
"Strongly agree",100,7.23,31.58,0
"Strongly disagree",0,21.69,0,32.61
