"","","Mixed Methods","Qualitative","Quantitative"
"",0,3.61,5.26,1.09
"Agree",100,42.17,18.42,60.87
"Disagree",0,13.25,47.37,11.96
"Strongly agree",0,28.92,0,23.91
"Strongly disagree",0,12.05,28.95,2.17
