"","","Mixed Methods","Qualitative","Quantitative"
"",0,5.14,2.34,4.21
"Agree",0,10.28,8.41,15.42
"Disagree",0.47,15.89,1.87,18.69
"Strongly agree",0,3.74,4.21,0.93
"Strongly disagree",0,3.74,0.93,3.74
