"","Quantitative","Qualitative","Mixed Methods","NA"
"Human geography",14.13,75,27.06,0
"Physical geography, earth and environmental sciences",34.78,2.5,35.29,0
"Nature and society",6.52,22.5,11.76,0
"Geographic methods, GIS, spatial statistics",42.39,0,25.88,0
"Other",1.09,0,0,0
"NA",1.09,0,0,100
