"","","Mixed Methods","Qualitative","Quantitative"
"",0,2.8,1.87,0.47
"Frequently",0,13.55,4.21,19.16
"Never",0,0.47,2.34,1.87
"Occasionally",0,14.49,2.8,18.22
"Rarely",0.47,7.48,6.54,3.27
