"","Quantitative","Qualitative","Mixed Methods","NA"
"To a great extent",59.78,15,55.29,0
"Somewhat",33.7,42.5,37.65,100
"Very little",6.52,30,7.06,0
"Not at all",0,12.5,0,0
"NA",0,0,0,0
