"","Quantitative","Qualitative","Mixed Methods","NA"
"To a great extent",68.48,30,49.41,0
"Somewhat",27.17,42.5,41.18,0
"Very little",3.26,17.5,7.06,100
"Not at all",1.09,10,2.35,0
"NA",0,0,0,0
