"","18-34 years old","35-54 years old","55+ years old"
"",97.62,96.27,100
"Government scientist (applied)",0,0.75,0
"Lecturer/teacher at a university of applied sciences.",0,0.75,0
"Project Scientist",0,0.75,0
"Researcher (policy)",2.38,0,0
"Senior Consultant and external lecturer",0,0.75,0
"Senior Research Fellow",0,0.75,0
