"","18-34 years old","35-54 years old","55+ years old"
"",1.4,3.27,0
"Not important",1.87,4.67,0.93
"Somewhat important",5.61,21.5,8.41
"Somewhat not important",0.93,10.28,2.8
"Very important",9.81,22.9,5.61
