"","18-34 years old","35-54 years old","55+ years old"
"",4.76,2.24,2.63
"Agree",57.14,39.55,57.89
"Disagree",16.67,19.4,18.42
"Strongly agree",14.29,25.37,15.79
"Strongly disagree",7.14,13.43,5.26
