"","18-34 years old","35-54 years old","55+ years old"
"",1.87,6.07,1.87
"Always",3.27,11.68,1.4
"Most of the time",4.67,15.42,4.67
"Never",0,3.74,0.47
"Rarely",1.87,8.88,3.74
"Some of the time",7.94,16.82,5.61
