"","18-34 years old","35-54 years old","55+ years old"
"",7.14,3.73,2.63
"Not important",4.76,5.97,10.53
"Somewhat important",40.48,37.31,34.21
"Somewhat not important",9.52,11.94,5.26
"Very important",38.1,41.04,47.37
