"","18-34 years old","35-54 years old","55+ years old"
"",7.14,3.73,0
"Not important",4.76,8.21,13.16
"Somewhat important",23.81,32.09,39.47
"Somewhat not important",26.19,23.88,10.53
"Very important",38.1,32.09,36.84
