"","18-34 years old","35-54 years old","55+ years old"
"",95.24,95.52,97.37
"African",2.38,0.75,0
"Caribbean",2.38,0,0
"european",0,0.75,0
"I'm from and live in Chile",0,0.75,0
"Middle Eastern",0,0.75,0
"Swedish",0,0,2.63
"Why is this relevant???",0,0.75,0
"WTF..! what planet are you from? where have you been the past 25 years? cant be serious asking about race in an academic survey in the 21st century ",0,0.75,0
