"","18-34 years old","35-54 years old","55+ years old"
"",16.67,11.19,7.89
"Agree",30.95,35.07,34.21
"Disagree",42.86,36.57,31.58
"Strongly agree",4.76,9.7,10.53
"Strongly disagree",4.76,7.46,15.79
