"","18-34 years old","35-54 years old","55+ years old"
"",7.14,4.48,5.26
"Not important",7.14,5.22,5.26
"Somewhat important",45.24,39.55,42.11
"Somewhat not important",4.76,11.19,21.05
"Very important",35.71,39.55,26.32
