"","18-34 years old","35-54 years old","55+ years old"
"",0.47,1.4,0
"Always",3.74,9.35,2.8
"Most of the time",6.07,15.42,7.48
"Never",1.87,7.48,1.4
"Rarely",1.87,14.95,1.87
"Some of the time",5.61,14.02,4.21
