"","18-34 years old","35-54 years old","55+ years old"
"",0.47,2.8,0
"Always",2.34,2.8,1.4
"Most of the time",3.27,7.94,2.8
"Never",5.61,22.9,6.07
"Rarely",2.34,12.15,3.74
"Some of the time",5.61,14.02,3.74
