"","18-34 years old","35-54 years old","55+ years old"
"",9.52,5.22,5.26
"Agree",26.19,23.13,26.32
"Disagree",47.62,49.25,52.63
"Strongly agree",2.38,2.99,0
"Strongly disagree",14.29,19.4,15.79
