"","18-34 years old","35-54 years old","55+ years old"
"",1.4,2.34,0
"Not important",0.93,2.8,0.93
"Somewhat important",2.34,21.03,5.14
"Somewhat not important",1.87,7.94,1.87
"Very important",13.08,28.5,9.81
