"","18-34 years old","35-54 years old","55+ years old"
"",2.38,2.99,0
"Asian",23.81,18.66,7.89
"Black or African American",2.38,1.49,0
"Hispanic",2.38,4.48,0
"Hispanic,Other",0,0.75,0
"Hispanic,White",0,1.49,0
"Other",7.14,5.97,2.63
"Other,Prefer not to say",0,0,2.63
"Prefer not to say",4.76,2.24,5.26
"White",57.14,60.45,81.58
"White,Other",0,1.49,0
