"","18-34 years old","35-54 years old","55+ years old"
"",1.4,5.14,0.47
"Agree",11.21,31.31,8.88
"Disagree",1.4,9.81,3.27
"Strongly agree",5.14,14.02,5.14
"Strongly disagree",0.47,2.34,0
