"","18-34 years old","35-54 years old","55+ years old"
"",2.38,2.99,0
"Assistant professor/lecturer",19.05,11.19,2.63
"Associate professor/lecturer",7.14,38.06,18.42
"Full professor/lecturer",2.38,14.93,60.53
"Graduate student (PhD, masters)",33.33,2.24,0
"Laboratory director/head",0,0.75,0
"Other (specify)",2.38,3.73,0
"Post-doctoral fellow",19.05,12.69,2.63
"Research scientist",9.52,13.43,15.79
"Technician/research assistant",4.76,0,0
