"","18-34 years old","35-54 years old","55+ years old"
"",1.4,2.34,0.47
"Not important",0.93,4.67,0.93
"Somewhat important",5.14,22.43,7.48
"Somewhat not important",1.4,7.48,1.4
"Very important",10.75,25.7,7.48
