"","18-34 years old","35-54 years old","55+ years old"
"",1.4,2.34,0
"Not important",0.93,4.67,1.87
"Somewhat important",7.48,21.03,7.48
"Somewhat not important",3.27,14.02,1.4
"Very important",6.54,20.56,7.01
