"","18-34 years old","35-54 years old","55+ years old"
"",9.52,2.24,2.63
"Agree",47.62,37.31,36.84
"Disagree",33.33,31.34,34.21
"Strongly agree",4.76,14.18,15.79
"Strongly disagree",4.76,14.93,10.53
