"","18-34 years old","35-54 years old","55+ years old"
"",0.93,2.34,0.47
"Not important",0.93,5.61,1.4
"Somewhat important",5.14,20.56,7.94
"Somewhat not important",1.87,8.88,0.93
"Very important",10.75,25.23,7.01
