"","18-34 years old","35-54 years old","55+ years old"
"",0,0.75,0
"Not at all",9.52,18.66,18.42
"Somewhat",42.86,35.82,39.47
"To a great extent",33.33,29.1,26.32
"Very little",14.29,15.67,15.79
