"","18-34 years old","35-54 years old","55+ years old"
"",0,0,2.63
"Not at all",4.76,4.48,0
"Somewhat",28.57,36.57,50
"To a great extent",61.9,47.76,34.21
"Very little",4.76,11.19,13.16
