"","18-34 years old","35-54 years old","55+ years old"
"",23.81,9.7,15.79
"Agree",7.14,23.13,18.42
"Disagree",38.1,34.33,39.47
"Strongly agree",14.29,8.21,5.26
"Strongly disagree",16.67,24.63,21.05
