"","18-34 years old","35-54 years old","55+ years old"
"",1.4,2.34,0
"Not important",1.4,5.14,1.4
"Somewhat important",3.74,20.56,8.41
"Somewhat not important",2.34,9.35,1.87
"Very important",10.75,25.23,6.07
