"","18-34 years old","35-54 years old","55+ years old"
"",7.14,3.73,2.63
"Not important",7.14,11.19,7.89
"Somewhat important",26.19,34.33,47.37
"Somewhat not important",21.43,22.39,18.42
"Very important",38.1,28.36,23.68
