"","18-34 years old","35-54 years old","55+ years old"
"",0,0.47,0.47
"Geographic methods, GIS, spatial statistics",7.01,13.08,5.14
"Human geography",3.27,16.36,4.21
"Nature and society",1.4,5.14,1.87
"Other (specify)",1.4,9.81,1.4
"Physical geography, earth and environmental sciences",6.54,17.76,4.67
