"","Not at all","Somewhat","To a great extent","Very little"
"",0,0,0,5.88
"Mixed Methods",28.57,44.59,36.21,35.29
"Qualitative",57.14,20.27,10.34,41.18
"Quantitative",14.29,35.14,53.45,17.65
