"","Not at all","Somewhat","To a great extent","Very little"
"",14.29,5.41,6.9,5.88
"Frequently",14.29,10.81,22.41,11.76
"Never",28.57,6.76,6.03,11.76
"Occasionally",14.29,33.78,35.34,41.18
"Rarely",28.57,43.24,29.31,29.41
