"","Not at all","Somewhat","To a great extent","Very little"
"",14.29,2.7,4.31,0
"Not important",28.57,8.11,1.72,0
"Somewhat important",14.29,28.38,27.59,41.18
"Somewhat not important",14.29,13.51,8.62,23.53
"Very important",28.57,47.3,57.76,35.29
