"","Not at all","Somewhat","To a great extent","Very little"
"",0,6.76,1.72,5.88
"Agree",42.86,37.84,40.52,35.29
"Disagree",14.29,31.08,31.03,52.94
"Strongly agree",0,10.81,16.38,0
"Strongly disagree",42.86,13.51,10.34,5.88
