"","Not at all","Somewhat","To a great extent","Very little"
"",14.29,2.7,4.31,0
"Not important",28.57,12.16,4.31,5.88
"Somewhat important",14.29,37.84,31.03,29.41
"Somewhat not important",14.29,10.81,12.93,29.41
"Very important",28.57,36.49,47.41,35.29
